reporting_period,project_id,project_county,project_city,project_zip,electric_utility,project_completion_date,total_project_cost,pre_retrofit_home_heating_fuel_type,size_of_home,number_of_units,job_type,type_of_dwelling,measure_type,estimated_annual_kwh_savings,estimated_annual_mmbtu_savings,first_year_modeled_project_energy_savings_estimate,location_1,:@computed_region_yamh_8v7k,:@computed_region_wbg7_3whc,:@computed_region_kjdx_g34t,year_home_built,gas_utility
2021-01-30T00:00:00.000,334460,Onondaga,Syracuse,13215,National Grid,2018-07-02T00:00:00.000,1941,Natural Gas,"2,464",1,Home Performance,Single Family,Building Shell,510,9,155,"{'latitude': '42.987251', 'longitude': '-76.220062', 'human_address': '{""address"": """", ""city"": ""Syracuse"", ""state"": ""NY"", ""zip"": ""13215""}'}",693,732,2132,1961,National Grid
2021-01-30T00:00:00.000,391088,Oneida,Utica,13501,National Grid,2019-03-04T00:00:00.000,3899,Natural Gas,"1,698",1,Home Performance,Single Family,Building Shell,494,23,275,"{'latitude': '43.085324', 'longitude': '-75.228495', 'human_address': '{""address"": """", ""city"": ""Utica"", ""state"": ""NY"", ""zip"": ""13501""}'}",984,1464,625,,National Grid
2021-01-30T00:00:00.000,396585,Broome,Johnson City,13790,New York State Electric & Gas,2019-03-28T00:00:00.000,6569,Natural Gas,"1,134",1,Home Performance,Single Family,Building Shell,368,38,290,"{'latitude': '42.143195', 'longitude': '-75.981297', 'human_address': '{""address"": """", ""city"": ""Johnson City"", ""state"": ""NY"", ""zip"": ""13790""}'}",938,429,2033,,New York State Electric & Gas
2021-01-30T00:00:00.000,367684,Oneida,Vernon Center,13477,National Grid,2018-09-17T00:00:00.000,6450,Natural Gas,924,1,Home Performance,Single Family,Building Shell,368,31,800,"{'latitude': '43.037384', 'longitude': '-75.510534', 'human_address': '{""address"": """", ""city"": ""Vernon Center"", ""state"": ""NY"", ""zip"": ""13477""}'}",983,1384,625,1988,
2021-01-30T00:00:00.000,343770,Erie,Buffalo,14216,National Grid,2018-10-16T00:00:00.000,4197,Natural Gas,"1,296",1,Home Performance,Single Family,Building Shell,510,36,421,"{'latitude': '42.94846', 'longitude': '-78.861789', 'human_address': '{""address"": """", ""city"": ""Buffalo"", ""state"": ""NY"", ""zip"": ""14216""}'}",300,105,2041,1923,National Fuel Gas Distribution
2021-01-30T00:00:00.000,324396,Niagara,Newfane,14108,National Grid,2018-01-16T00:00:00.000,2328,Natural Gas,"1,848",1,Home Performance,Single Family,Building Shell,0,12,126,"{'latitude': '43.267993', 'longitude': '-78.718267', 'human_address': '{""address"": """", ""city"": ""Newfane"", ""state"": ""NY"", ""zip"": ""14108""}'}",161,936,2131,,New York State Electric & Gas
2021-01-30T00:00:00.000,430834,Bronx,The Bronx,10457,Consolidated Edison,2019-09-30T00:00:00.000,509,Natural Gas,919,1,Electric Reduction,Single Family,Building Shell,208,0,50,"{'latitude': '40.846788', 'longitude': '-73.899203', 'human_address': '{""address"": """", ""city"": ""The Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",307,653,2032,,Consolidated Edison
2021-01-30T00:00:00.000,337121,Monroe,Rochester,14609,Rochester Gas & Electric,2018-05-01T00:00:00.000,3008,Natural Gas,"1,632",1,Home Performance,Single Family,Building Shell,510,35,405,"{'latitude': '43.175867', 'longitude': '-77.559147', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14609""}'}",537,1667,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,401720,Monroe,Rochester,14621,Rochester Gas & Electric,2019-06-28T00:00:00.000,2354,Natural Gas,950,1,Home Performance,Single Family,Building Shell,1591,8,223,"{'latitude': '43.185561', 'longitude': '-77.601927', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14621""}'}",537,1680,2093,1921,Rochester Gas & Electric
2021-01-30T00:00:00.000,368200,Queens,Queens,11420,Consolidated Edison,2018-09-27T00:00:00.000,7453,Natural Gas,"2,622",1,Home Performance,Single Family,Building Shell,0,56,957,"{'latitude': '40.673382', 'longitude': '-73.815675', 'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11420""}'}",196,1167,2137,1938,National Grid
2021-01-30T00:00:00.000,368703,Schenectady,Delanson,12053,National Grid,2018-09-13T00:00:00.000,6621,Oil,"1,164",1,Home Performance,Single Family,Building Shell,158,28,587,"{'latitude': '42.74776', 'longitude': '-74.184758', 'human_address': '{""address"": """", ""city"": ""Delanson"", ""state"": ""NY"", ""zip"": ""12053""}'}",109,1179,2142,,
2021-01-30T00:00:00.000,401751,Herkimer,Frankfort,13340,National Grid,2019-05-28T00:00:00.000,3439,Oil,"1,336",1,Home Performance,Single Family,Building Shell,368,16,321,"{'latitude': '43.050515', 'longitude': '-75.115762', 'human_address': '{""address"": """", ""city"": ""Frankfort"", ""state"": ""NY"", ""zip"": ""13340""}'}",681,552,2088,1896,
2021-01-30T00:00:00.000,424538,Erie,Buffalo,14215,National Grid,2020-01-06T00:00:00.000,2171,Natural Gas,"1,260",2,Home Performance,Single Family,Building Shell,1230,6,175,"{'latitude': '42.934202', 'longitude': '-78.808435', 'human_address': '{""address"": """", ""city"": ""Buffalo"", ""state"": ""NY"", ""zip"": ""14215""}'}",300,71,2041,1946,National Fuel Gas Distribution
2021-01-30T00:00:00.000,413179,Oneida,Boonville,13309,National Grid,2019-11-18T00:00:00.000,9061,Natural Gas,"1,152",1,Home Performance,Single Family,Building Shell,510,74,1517,"{'latitude': '43.478376', 'longitude': '-75.339596', 'human_address': '{""address"": """", ""city"": ""Boonville"", ""state"": ""NY"", ""zip"": ""13309""}'}",932,767,625,,National Grid
2021-01-30T00:00:00.000,402628,Broome,Endicott,13760,New York State Electric & Gas,2019-05-14T00:00:00.000,2771,Propane,Report SF less than 800,1,Home Performance,Mobile,Building Shell,0,16,413,"{'latitude': '42.119277', 'longitude': '-76.063761', 'human_address': '{""address"": """", ""city"": ""Endicott"", ""state"": ""NY"", ""zip"": ""13760""}'}",938,388,2033,1982,
2021-01-30T00:00:00.000,438416,Monroe,Hamlin,14464,National Grid,2020-01-06T00:00:00.000,759,Natural Gas,Report SF less than 800,1,Home Performance,Single Family,Building Shell,526,3,78,"{'latitude': '43.331397', 'longitude': '-77.931632', 'human_address': '{""address"": """", ""city"": ""Hamlin"", ""state"": ""NY"", ""zip"": ""14464""}'}",547,235,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,413766,Fulton,St Johnsville,13452,National Grid,2019-09-25T00:00:00.000,6260,Electric,"2,287",1,Home Performance,Single Family,Building Shell,208,32,273,"{'latitude': '43.030313', 'longitude': '-74.628407', 'human_address': '{""address"": """", ""city"": ""St Johnsville"", ""state"": ""NY"", ""zip"": ""13452""}'}",380,1369,2085,1998,National Grid
2021-01-30T00:00:00.000,353737,Albany,Albany,12210,National Grid,2018-09-11T00:00:00.000,7194,Natural Gas,"1,104",1,Home Performance,Single Family,Building Shell,0,47,425,"{'latitude': '42.658077', 'longitude': '-73.758624', 'human_address': '{""address"": """", ""city"": ""Albany"", ""state"": ""NY"", ""zip"": ""12210""}'}",814,47,2030,,National Grid
2021-01-30T00:00:00.000,325217,Onondaga,Syracuse,13206,National Grid,2018-02-20T00:00:00.000,3670,Natural Gas,912,1,Home Performance,Single Family,Building Shell,510,28,330,"{'latitude': '43.071381', 'longitude': '-76.107915', 'human_address': '{""address"": """", ""city"": ""Syracuse"", ""state"": ""NY"", ""zip"": ""13206""}'}",687,715,2132,1968,National Grid
2021-01-30T00:00:00.000,335308,Erie,Springville,14141,New York State Electric & Gas,2018-10-04T00:00:00.000,7656,Oil,"1,653",1,Home Performance,Single Family,Building Shell,510,81,1713,"{'latitude': '42.522613', 'longitude': '-78.702261', 'human_address': '{""address"": """", ""city"": ""Springville"", ""state"": ""NY"", ""zip"": ""14141""}'}",294,5,2041,1931,
2021-01-30T00:00:00.000,378536,Monroe,Rochester,14615,Rochester Gas & Electric,2019-03-14T00:00:00.000,619,Natural Gas,"1,152",1,Home Performance,Single Family,Building Shell,0,4,43,"{'latitude': '43.204816', 'longitude': '-77.65384', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14615""}'}",548,1674,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,388248,Herkimer,Little Falls,13365,National Grid,2019-02-15T00:00:00.000,1868,Wood,"Report SF more than 4,000",1,Home Performance,Single Family,Building Shell,0,9,87,"{'latitude': '43.060591', 'longitude': '-74.847449', 'human_address': '{""address"": """", ""city"": ""Little Falls"", ""state"": ""NY"", ""zip"": ""13365""}'}",675,570,2088,1851,
2021-01-30T00:00:00.000,D040376789,Tompkins,Ithaca,14850,New York State Electric & Gas,2018-01-02T00:00:00.000,1073,Oil,"1,136",1,Home Performance,Single Family,Building Shell,510,3,148,"{'latitude': '42.443738', 'longitude': '-76.497069', 'human_address': '{""address"": """", ""city"": ""Ithaca"", ""state"": ""NY"", ""zip"": ""14850""}'}",709,1786,2181,2021,
2021-01-30T00:00:00.000,389325,Orange,Kiryas Joel,10950,Orange & Rockland,2019-10-24T00:00:00.000,5196,Electric,"1,980",1,Home Performance,Single Family,Building Shell,359,25,354,"{'latitude': '41.322198', 'longitude': '-74.194618', 'human_address': '{""address"": """", ""city"": ""Kiryas Joel"", ""state"": ""NY"", ""zip"": ""10950""}'}",871,1542,2134,1991,Orange & Rockland
2021-01-30T00:00:00.000,408750,Queens,Queens,11367,Consolidated Edison,2019-05-08T00:00:00.000,1141,Natural Gas,"2,322",1,Electric Reduction,Single Family,Building Shell,1025,1,240,"{'latitude': '40.729914', 'longitude': '-73.824338', 'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11367""}'}",196,837,2137,,Consolidated Edison
2021-01-30T00:00:00.000,328735,Erie,Buffalo,14210,National Grid,2018-06-28T00:00:00.000,2641,Natural Gas,"1,244",1,Home Performance,Single Family,Building Shell,368,18,226,"{'latitude': '42.865037', 'longitude': '-78.828258', 'human_address': '{""address"": """", ""city"": ""Buffalo"", ""state"": ""NY"", ""zip"": ""14210""}'}",300,66,2041,,National Fuel Gas Distribution
2021-01-30T00:00:00.000,358981,Otsego,Oneonta,13820,New York State Electric & Gas,2019-02-25T00:00:00.000,3600,Kerosene,Report SF less than 800,1,Home Performance,Mobile,Building Shell,129,20,459,"{'latitude': '42.46968', 'longitude': '-75.041855', 'human_address': '{""address"": """", ""city"": ""Oneonta"", ""state"": ""NY"", ""zip"": ""13820""}'}",916,447,2136,1981,
2021-01-30T00:00:00.000,361822,Monroe,Rochester,14621,Rochester Gas & Electric,2018-10-16T00:00:00.000,7470,Natural Gas,"1,344",1,Home Performance,Single Family,Building Shell,510,63,679,"{'latitude': '43.185561', 'longitude': '-77.601927', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14621""}'}",537,1680,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,417551,Queens,Queens,11412,Consolidated Edison,2019-08-20T00:00:00.000,9760,Natural Gas,"1,232",1,Home Performance,Single Family,Building Shell,510,62,818,"{'latitude': '40.698064', 'longitude': '-73.759234', 'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11412""}'}",196,851,2137,,National Grid
2021-01-30T00:00:00.000,368617,Wayne,Marion,14505,Rochester Gas & Electric,2018-10-21T00:00:00.000,3306,Natural Gas,"1,394",1,Home Performance,Single Family,Building Shell,301,21,244,"{'latitude': '43.157595', 'longitude': '-77.173124', 'human_address': '{""address"": """", ""city"": ""Marion"", ""state"": ""NY"", ""zip"": ""14505""}'}",633,318,631,,Rochester Gas & Electric
